word,count,sep
messy,225,good
secondary,225,good
extra,224,good
view,224,good
soul,224,good
piece,224,good
up,224,good
hospital,223,good
wise,223,good
dream,223,good
period,223,good
impressed,223,good
genres,223,good
serial,222,good
closure,222,good
break,221,good
outstanding,221,good
book,221,good
fake,221,good
ordinary,220,good
anger,220,good
handsome,219,good
atmosphere,219,good
topics,218,good
talent,217,good
pieces,217,good
meaningful,217,good
balance,217,good
ghost,217,good
budget,217,good
air,216,good
aware,216,good
struggle,216,good
approach,216,good
core,216,good
spot,215,good
hot,214,good
home,214,good
step,214,good
respect,214,good
1st,214,good
progression,213,good
bond,213,good
fault,212,good
touching,212,good
gem,212,good
abuse,212,good
storytelling,211,good
taste,211,good
night,211,good
effort,211,good
korean,211,good
health,210,good
strange,210,good
matter,210,good
kdramas,210,good
lessons,210,good
secrets,209,good
soft,209,good
use,209,good
art,208,good
protagonists,208,good
topic,207,good
dad,207,good
classic,207,good
meaning,206,good
confused,206,good
vibes,206,good
crush,205,good
circumstances,205,good
bunch,205,good
travel,205,good
tired,205,good
waste,205,good
underrated,204,good
friendships,203,good
identity,203,good
set,203,good
content,202,good
adults,202,good
front,202,good
detail,201,good
path,201,good
changes,200,good
Many,200,good
dull,200,good
loose,200,good
phenomenal,199,good
turn,199,good
boys,199,good
works,199,good
super,199,good
sides,198,good
que,198,good
painful,198,good
scary,197,good
look,197,good
later,197,good
tragedy,196,good
investigation,196,good
South,196,good
endings,196,good
hands,196,good
youth,194,good
presence,194,good
manner,194,good
help,194,good
Love,193,good
space,193,good
fate,192,good
memories,192,good
fast,192,good
lovable,192,good
form,192,good
current,191,good
shots,191,good
directing,191,good
disappointment,190,good
result,190,good
humans,190,good
extent,189,good
afraid,189,good
psychological,189,good
victim,189,good
latter,189,good
romcom,189,good
thrilling,189,good
facial,188,good
dialogues,188,good
understanding,188,good
feel,188,good
screenplay,188,good
bullying,188,good
shame,188,good
boss,187,good
member,187,good
families,186,good
impossible,186,good
go,186,good
explanation,185,good
joy,185,good
standard,185,good
date,184,good
mix,184,good
memory,184,good
gorgeous,183,good
deeper,183,good
film,182,good
genuine,182,good
useless,182,good
mediocre,180,good
cop,180,good
daily,180,good
horrible,180,good
conflicts,180,good
majority,179,good
dumb,179,good
surprising,179,good
sake,178,good
faces,178,good
absolute,178,good
touch,177,good
ost,177,good
logic,177,good
spoiler,177,good
illness,176,good
mad,176,good
cause,176,good
answer,176,good
likeable,176,good
hate,175,good
odd,175,good
alive,175,good
dimensional,175,good
act,175,good
seat,175,good
talented,175,good
antagonists,174,good
stronger,174,good
subject,174,good
makjang,174,good
successful,174,good
like,174,good
sadness,173,good
constant,173,good
bigger,173,good
bland,173,good
military,173,good
pleasant,173,good
gay,172,good
moral,172,good
physical,172,good
flow,171,good
shot,171,good
information,171,good
consistent,171,good
factor,171,good
project,169,good
legal,169,good
opportunity,168,good
prosecutor,168,good
quirky,167,good
humour,167,good
goal,167,good
late,167,good
victims,167,good
expression,167,good
healing,166,good
picture,165,good
awful,165,good
novel,165,good
context,165,good
notch,164,good
epic,164,good
thanks,164,good
favorites,164,good
TV,164,good
deal,164,good
misunderstandings,164,good
behavior,163,good
former,163,good
college,163,good
run,163,good
idols,163,good
black,162,good
ups,162,good
lawyer,162,good
flawed,162,good
tough,162,good
loss,162,good
force,161,good
consequences,161,good
married,161,good
