actor_name,drama_name,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Ban Hyo Jung,My Healing Love,5.5,6.5,4.5,4.5,5.7
Ban Hyo Jung,The Witch's Game,3.5,5.8,7.2,1.0,3.8
Ban Min Jung,Late Night Restaurant,9.4,9.4,8.9,9.3,9.4
Ban So Young,Happy Sisters,5.0,5.0,1.0,1.0,5.0
Bang Eun Hee,"Breakup Probation, A Week",6.6,8.4,7.2,5.9,7.2
Bang Eun Hee,Gangnam Scandal,6.8,7.1,4.2,5.8,7.1
Bang Eun Hee,The Man's Voice,4.8,7.2,4.6,3.6,4.9
Bang Eun Jung,Peng,4.4,5.7,5.1,3.9,4.4
Bang Min Ah,Beautiful Gong Shim,6.7,8.8,7.9,5.2,7.5
Bang Min Ah,Check Out the Event,6.9,7.8,7.0,4.7,7.0
Bang Min Ah,Delivery Man,7.6,7.1,5.9,4.6,6.9
Bang Min Ah,My Absolute Boyfriend,6.5,7.8,7.5,5.6,6.8
Bang Yoo In,Sing My Crush,8.9,9.0,9.2,8.6,9.0
Bing Hye Jin,Girlfriend Project Day 1,8.8,9.2,8.4,8.2,8.8
Bona,Girls' Generation 1979,9.0,9.2,9.0,8.0,9.2
Bona,Joseon Attorney: A Morality,7.5,9.1,7.7,5.5,7.7
Bona,Twenty-Five Twenty-One,9.0,10.0,9.5,7.9,9.3
Bona,Your House Helper,8.1,8.0,7.0,6.2,8.0
Bong Jae Hyun,Convenience Store Fling,7.0,8.9,8.3,8.3,8.2
Bong Tae Kyu,Doctor Detective,7.7,8.9,7.9,6.0,7.9
Bong Tae Kyu,Pandora: Beneath the Paradise,7.0,7.0,5.4,3.4,6.7
Bong Tae Kyu,Return,8.3,8.6,7.6,6.3,8.2
Bong Tae Kyu,The Penthouse: War in Life,7.5,8.3,7.3,5.3,7.5
Brett Gray,Dramaworld Season 2,5.5,3.5,4.5,4.0,4.5
Bu Bae,Secrets and Lies,4.6,5.6,4.6,3.5,4.8
Bum Jun,Behind Cut,4.5,7.0,6.4,3.0,5.8
Bum Jun,Ocean Likes Me,5.8,8.0,7.8,5.0,6.7
Byeon Seo Yoon,Bad Girlfriend,5.5,7.5,6.0,4.8,5.5
Byeon Seo Yoon,Can You Deliver Time?,9.5,9.0,8.5,8.5,9.5
Byeon Woo Seok,Flower Crew: Joseon Marriage Agency,8.2,8.8,7.5,6.9,8.0
Byeon Woo Seok,Moonshine,7.0,8.6,7.0,4.6,7.4
Byeon Woo Seok,Record of Youth,6.1,8.2,7.4,4.0,6.5
Byun Baek Hyun,EXO Next Door,6.6,7.8,8.5,7.0,7.5
Byun Baek Hyun,Moon Lovers: Scarlet Heart Ryeo,7.4,9.0,8.5,6.8,7.9
Byun Hee Bong,"My Lawyer, Mr. Jo 2: Crime and Punishment",5.5,6.8,6.2,5.2,6.8
Byun Hee Bong,Save the Family,4.0,4.0,1.0,1.0,4.0
Byun Ji Hyun,She Makes My Heart Flutter,9.2,9.3,8.7,9.5,9.3
Byun Jun Seo,"Alice, the Final Weapon",7.1,7.9,6.9,5.4,7.2
Byun Jung Soo,Touch,6.2,6.5,6.9,4.1,6.1
Byun Sung Tae,Happy Merry Ending,6.0,8.2,8.2,5.1,6.8
Byun Sung Tae,I  Can See Your MBTI,6.7,7.3,5.5,5.0,6.3
Byun Yo Han,Ex-Girlfriend Club,8.4,9.2,8.4,7.7,8.5
Byun Yo Han,Mr. Sunshine,8.4,9.4,8.8,6.6,8.6
Byun Yo Han,Six Flying Dragons,9.8,9.9,9.7,8.9,9.8
CNU,"Miss Ma, Nemesis",7.5,8.8,8.0,6.2,7.5
Cha Bo Sung,Cat's Bar,6.7,7.0,6.8,6.0,6.2
Cha Bo Sung,Luv Pub,7.0,8.0,5.0,5.0,7.0
Cha Bo Sung,Taste of Cat,7.0,7.8,6.0,6.3,7.0
Cha Chung Hwa,Dr. Park’s Clinic,7.8,8.9,7.1,7.1,7.6
Cha Chung Hwa,Eccentric! Chef Moon,6.5,8.2,6.0,3.5,6.7
Cha Chung Hwa,Kokdu: Season of Deity,7.0,8.2,7.8,4.8,7.3
Cha Do Jin,Sisters-in-Law,5.0,5.5,4.0,3.0,5.0
Cha Do Jin,You Are a Gift,7.0,6.2,5.0,4.8,7.5
Cha Eun Woo,Island,7.0,8.6,7.5,6.6,7.8
Cha Eun Woo,Island Part 2,7.2,8.9,7.5,5.6,7.6
Cha Eun Woo,My ID Is Gangnam Beauty,7.1,6.6,7.4,5.3,6.8
Cha Eun Woo,My Romantic Some Recipe,7.4,8.0,7.4,6.3,7.4
Cha Eun Woo,Rookie Historian Goo Hae Ryung,8.6,9.0,8.5,8.1,8.8
Cha Eun Woo,Soul Plate,7.4,7.2,6.2,5.2,7.2
Cha Eun Woo,Sweet Revenge,8.4,9.0,7.5,7.2,8.2
Cha Eun Woo,To Be Continued,6.6,7.6,8.8,7.2,7.6
Cha Eun Woo,Top Management,7.5,8.4,8.4,6.8,8.1
Cha Eun Woo,True Beauty,6.0,7.8,7.6,4.2,6.6
Cha Gun,Cherry Blossoms After Winter,6.5,6.7,6.9,5.2,6.9
Cha Gun,Her Bucket List,7.3,7.6,7.4,4.5,7.2
Cha Hak Yeon,Bad and Crazy,6.5,8.3,7.2,5.8,7.0
Cha Hak Yeon,Children of Nobody,9.5,9.5,8.7,8.9,9.5
Cha Hak Yeon,Familiar Wife,8.0,9.2,8.6,7.1,8.3
Cha Hak Yeon,Joseon Attorney: A Morality,7.5,9.1,7.7,5.5,7.7
Cha Hak Yeon,Mine,6.8,9.2,7.2,5.3,7.6
Cha Hak Yeon,Sassy Go Go,8.1,9.4,8.2,7.5,8.6
Cha Hak Yeon,The Family Is Coming,7.8,8.2,6.0,6.0,8.0
Cha Hak Yeon,Tomorrow Boy,7.0,7.8,6.8,7.5,7.0
Cha Hak Yeon,What's Up With These Kids!?,5.5,6.0,7.5,6.0,7.0
